Model Year,Electric Range,VEHICLE
2016,16,AUDI A3
2017,16,AUDI A3
2018,16,AUDI A3
2021,24,AUDI A7
2020,17,AUDI A8 E
2022,22,AUDI Q5
2022,23,AUDI Q5
2020,20,AUDI Q5 E
2021,18,AUDI Q5 E
2021,19,AUDI Q5 E
2023,23,AUDI Q5 E
2020,18,BENTLEY BENTAYGA
2021,17,BENTLEY BENTAYGA
2022,21,BENTLEY FLYING SPUR
2016,14,BMW 330E
2017,14,BMW 330E
2018,14,BMW 330E
2021,20,BMW 330E
2021,22,BMW 330E
2022,22,BMW 330E
2023,20,BMW 330E
2023,22,BMW 330E
2018,16,BMW 530E
2018,14,BMW 530E
2019,15,BMW 530E
2019,16,BMW 530E
2020,20,BMW 530E
2021,18,BMW 530E
2021,21,BMW 530E
2022,18,BMW 530E
2023,18,BMW 530E
2023,21,BMW 530E
2017,14,BMW 740E
2018,14,BMW 740E
2019,14,BMW 740E
2020,16,BMW 745E
2022,16,BMW 745LE
2014,81,BMW I3
2015,81,BMW I3
2016,114,BMW I3
2017,114,BMW I3
2018,114,BMW I3
2019,153,BMW I3
2020,153,BMW I3
2021,153,BMW I3
2014,14,BMW I8
2015,14,BMW I8
2016,14,BMW I8
2017,14,BMW I8
2019,17,BMW I8
2019,18,BMW I8
2020,17,BMW I8
2020,17,BMW X3
2021,17,BMW X3
2016,14,BMW X5
2017,14,BMW X5
2018,13,BMW X5
2021,30,BMW X5
2022,30,BMW X5
2023,30,BMW X5
2024,39,BMW X5
2017,31,CADILLAC CT6
2018,31,CADILLAC CT6
2014,37,CADILLAC ELR
2016,40,CADILLAC ELR
2016,36,CADILLAC ELR
2011,35,CHEVROLET VOLT
2012,35,CHEVROLET VOLT
2013,38,CHEVROLET VOLT
2014,38,CHEVROLET VOLT
2015,38,CHEVROLET VOLT
2016,53,CHEVROLET VOLT
2017,53,CHEVROLET VOLT
2018,53,CHEVROLET VOLT
2019,53,CHEVROLET VOLT
2017,33,CHRYSLER PACIFICA
2018,33,CHRYSLER PACIFICA
2019,32,CHRYSLER PACIFICA
2020,32,CHRYSLER PACIFICA
2021,32,CHRYSLER PACIFICA
2022,32,CHRYSLER PACIFICA
2023,32,CHRYSLER PACIFICA
2012,33,FISKER KARMA
2013,19,FORD C-MAX
2014,19,FORD C-MAX
2015,19,FORD C-MAX
2016,19,FORD C-MAX
2017,20,FORD C-MAX
2021,38,FORD ESCAPE
2022,38,FORD ESCAPE
2023,37,FORD ESCAPE
2013,19,FORD FUSION
2014,19,FORD FUSION
2015,19,FORD FUSION
2016,19,FORD FUSION
2017,21,FORD FUSION
2018,21,FORD FUSION
2019,26,FORD FUSION
2020,26,FORD FUSION
2014,13,HONDA ACCORD
2018,47,HONDA CLARITY
2019,47,HONDA CLARITY
2020,47,HONDA CLARITY
2021,48,HONDA CLARITY
2021,47,HONDA CLARITY
2017,124,HYUNDAI IONIQ
2018,124,HYUNDAI IONIQ
2019,124,HYUNDAI IONIQ
2020,170,HYUNDAI IONIQ
2021,170,HYUNDAI IONIQ
2022,170,HYUNDAI IONIQ
2022,31,HYUNDAI SANTA FE
2023,30,HYUNDAI SANTA FE
2016,27,HYUNDAI SONATA
2017,27,HYUNDAI SONATA
2019,28,HYUNDAI SONATA
2022,33,HYUNDAI TUCSON
2023,33,HYUNDAI TUCSON
2022,25,JEEP GRAND CHEROKEE
2023,25,JEEP GRAND CHEROKEE
2021,21,JEEP WRANGLER
2021,25,JEEP WRANGLER
2022,22,JEEP WRANGLER
2022,21,JEEP WRANGLER
2023,21,JEEP WRANGLER
2018,239,KIA NIRO
2019,239,KIA NIRO
2020,239,KIA NIRO
2021,239,KIA NIRO
2022,239,KIA NIRO
2023,253,KIA NIRO
2017,29,KIA OPTIMA
2018,29,KIA OPTIMA
2019,29,KIA OPTIMA
2020,28,KIA OPTIMA
2022,32,KIA SORENTO
2023,32,KIA SORENTO
2023,34,KIA SPORTAGE
2020,19,LAND ROVER RANGE ROVER
2021,19,LAND ROVER RANGE ROVER
2023,51,LAND ROVER RANGE ROVER
2020,19,LAND ROVER RANGE ROVER SPORT
2021,19,LAND ROVER RANGE ROVER SPORT
2022,37,LEXUS NX
2023,37,LEXUS NX
2024,37,LEXUS NX
2020,21,LINCOLN AVIATOR
2021,21,LINCOLN AVIATOR
2022,21,LINCOLN AVIATOR
2023,21,LINCOLN AVIATOR
2021,28,LINCOLN CORSAIR
2022,28,LINCOLN CORSAIR
2024,26,MAZDA CX-90
2016,11,MERCEDES-BENZ C-CLASS
2017,8,MERCEDES-BENZ C-CLASS
2018,8,MERCEDES-BENZ C-CLASS
2018,9,MERCEDES-BENZ GLC-CLASS
2019,10,MERCEDES-BENZ GLC-CLASS
2020,22,MERCEDES-BENZ GLC-CLASS
2016,10,MERCEDES-BENZ GLE-CLASS
2017,10,MERCEDES-BENZ GLE-CLASS
2018,8,MERCEDES-BENZ GLE-CLASS
2015,14,MERCEDES-BENZ S-CLASS
2016,14,MERCEDES-BENZ S-CLASS
2017,12,MERCEDES-BENZ S-CLASS
2018,12,MINI COUNTRYMAN
2019,12,MINI COUNTRYMAN
2020,17,MINI COUNTRYMAN
2021,17,MINI COUNTRYMAN
2022,17,MINI COUNTRYMAN
2023,17,MINI COUNTRYMAN
2018,22,MITSUBISHI OUTLANDER
2019,22,MITSUBISHI OUTLANDER
2020,22,MITSUBISHI OUTLANDER
2021,24,MITSUBISHI OUTLANDER
2022,24,MITSUBISHI OUTLANDER
2023,38,MITSUBISHI OUTLANDER
2015,12,PORSCHE 918
2015,14,PORSCHE CAYENNE
2016,14,PORSCHE CAYENNE
2017,14,PORSCHE CAYENNE
2018,14,PORSCHE CAYENNE
2019,13,PORSCHE CAYENNE
2020,14,PORSCHE CAYENNE
2020,12,PORSCHE CAYENNE
2021,16,PORSCHE CAYENNE
2022,16,PORSCHE CAYENNE
2022,14,PORSCHE CAYENNE
2022,15,PORSCHE CAYENNE
2023,17,PORSCHE CAYENNE
2023,14,PORSCHE CAYENNE
2014,15,PORSCHE PANAMERA
2015,15,PORSCHE PANAMERA
2016,15,PORSCHE PANAMERA
2018,16,PORSCHE PANAMERA
2018,14,PORSCHE PANAMERA
2019,14,PORSCHE PANAMERA
2020,14,PORSCHE PANAMERA
2021,18,PORSCHE PANAMERA
2022,19,PORSCHE PANAMERA
2022,18,PORSCHE PANAMERA
2023,18,PORSCHE PANAMERA
2019,17,SUBARU CROSSTREK
2023,39,TOYOTA PRIUS
2012,6,TOYOTA PRIUS PLUG-IN
2013,6,TOYOTA PRIUS PLUG-IN
2014,6,TOYOTA PRIUS PLUG-IN
2015,6,TOYOTA PRIUS PLUG-IN
2017,25,TOYOTA PRIUS PRIME
2018,25,TOYOTA PRIUS PRIME
2019,25,TOYOTA PRIUS PRIME
2020,25,TOYOTA PRIUS PRIME
2021,25,TOYOTA PRIUS PRIME
2022,25,TOYOTA PRIUS PRIME
2021,42,TOYOTA RAV4 PRIME
2022,42,TOYOTA RAV4 PRIME
2023,42,TOYOTA RAV4 PRIME
2019,22,VOLVO S60
2020,22,VOLVO S60
2021,22,VOLVO S60
2022,22,VOLVO S60
2022,41,VOLVO S60
2023,41,VOLVO S60
2018,21,VOLVO S90
2019,21,VOLVO S90
2020,21,VOLVO S90
2023,38,VOLVO S90
2020,22,VOLVO V60
2021,22,VOLVO V60
2022,41,VOLVO V60
2022,22,VOLVO V60
2023,41,VOLVO V60
2018,17,VOLVO XC60
2019,17,VOLVO XC60
2020,19,VOLVO XC60
2020,18,VOLVO XC60
2021,18,VOLVO XC60
2022,35,VOLVO XC60
2022,18,VOLVO XC60
2023,35,VOLVO XC60
2016,13,VOLVO XC90
2017,14,VOLVO XC90
2018,19,VOLVO XC90
2019,17,VOLVO XC90
2020,18,VOLVO XC90
2021,18,VOLVO XC90
2022,18,VOLVO XC90
2022,35,VOLVO XC90
2023,32,VOLVO XC90
2010,100,WHEEGO ELECTRIC CARS WHEEGO
